Date,Open,High,Low,Close,Adj Close,Volume
2010-04-05,195.880005,195.96000700000002,192.440002,194.850006,153.354477,7123840.0
2010-04-06,195.0,195.0,192.53999299999998,193.28999299999998,152.126678,4421440.0
2010-04-07,194.0,194.794998,192.600006,193.175003,152.036194,5378050.0
2010-04-08,192.990005,192.990005,189.380005,190.279999,149.757721,6238830.0
2010-04-09,189.050003,195.699997,189.050003,194.934998,153.421402,6207650.0
2010-04-12,193.869995,196.78999299999998,193.869995,195.419998,153.803101,4570640.0
2010-04-13,195.0,196.28999299999998,193.100006,195.169998,153.606339,6341300.0
2010-04-15,195.5,197.490005,194.419998,195.705002,154.02740500000002,9547360.0
2010-04-16,194.5,197.440002,192.600006,196.425003,154.59407,5232560.0
2010-04-19,195.0,195.880005,192.600006,193.41000400000001,152.22113000000002,6120830.0
2010-04-20,192.899994,195.695007,192.899994,194.455002,153.04361,5439320.0
2010-04-21,194.899994,196.0,193.5,194.100006,152.76419099999998,3944500.0
2010-04-22,193.880005,197.0,190.804993,193.41499299999998,152.225067,6895110.0
2010-04-23,193.5,195.705002,192.865005,195.179993,153.614212,5317060.0
2010-04-26,195.770004,199.690002,195.770004,198.96000700000002,156.58918799999998,7898280.0
2010-04-27,198.899994,199.600006,196.779999,197.955002,155.798233,4484470.0
